Veto,Link,Ementa,Sobresta,Materia_Vetada,Norma_Gerada
VET 48/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16229,"Veto Parcial aposto ao Projeto de Lei do Senado nº 332, de 2018 (nº 116/2023, na Câmara dos Deputados), que ""Altera a Lei Complementar nº 87, de 13 de setembro de 1996 (Lei Kandir), para vedar a incidência do Imposto sobre Operações relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS) nos casos de transferência de mercadoria entre estabelecimentos do mesmo contribuinte"".",03/03/2024,PLS 332/2018,Lei Complementar nº 204 de 28/12/2023
VET 45/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16169,"Veto Parcial aposto ao Projeto de Lei nº 2.757, de 2022, que ""Altera a Lei nº 11.952, de 25 de junho de 2009, a Lei nº 8.629, de 25 de fevereiro de 1993, e a Lei nº 13.465, de 11 de julho de 2017, para dispor sobre a extinção de cláusulas resolutivas constantes de títulos fundiários, e dá outras providências"".",29/02/2024,PL 2757/2022,Lei nº 14.757 de 19/12/2023
VET 44/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16150,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 99, de 2017 (nº 6.124/2016, na Casa de origem, e devolvido à Câmara dos Deputados como PL nº 2.944/2019), que ""Dispõe sobre emolumentos dos serviços notariais e de registros públicos no âmbito do Distrito Federal e dos Territórios; revoga disposições do Decreto-Lei nº 115, de 25 de janeiro de 1967; e dá outras providências"".",28/02/2024,PLC 99/2017,Lei nº 14.756 de 15/12/2023
VET 43/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16149,"Veto Parcial aposto ao Projeto de Lei nº 2.788, de 2019, que ""Institui a Política Nacional de Direitos das Populações Atingidas por Barragens (PNAB); discrimina os direitos das Populações Atingidas por Barragens (PAB); prevê o Programa de Direitos das Populações Atingidas por Barragens (PDPAB); estabelece regras de responsabilidade social do empreendedor; e revoga dispositivos da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943"".",28/02/2024,PL 2788/2019,Lei nº 14.755 de 15/12/2023
VET 42/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16131,"Veto Parcial aposto ao Projeto de Lei nº 4.173, de 2023, que ""Dispõe sobre a tributação de aplicações em fundos de investimento no País e da renda auferida por pessoas físicas residentes no País em aplicações financeiras, entidades controladas e ""trusts"" no exterior; altera as Leis nºs 11.033, de 21 de dezembro de 2004, 8.668, de 25 de junho de 1993, e 10.406, de 10 de janeiro de 2002 (Código Civil); revoga dispositivos das Leis nºs 4.728, de 14 de julho de 1965, 9.250, de 26 de dezembro de 1995, 9.532, de 10 de dezembro de 1997, 10.426, de 24 de abril de 2002, 10.892, de 13 de julho de 2004, e 11.033, de 21 de dezembro de 2004, do Decreto-Lei nº 2.287, de 23 de julho de 1986, e das Medidas Provisórias nºs 2.189-49, de 23 de agosto de 2001, e 2.158-35, de 24 de agosto de 2001; e dá outras providências"".",22/02/2024,PL 4173/2023,Lei nº 14.754 de 12/12/2023
VET 41/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16130,"Veto Parcial aposto ao Projeto de Lei nº 3.045, de 2022 (nº 4.363/2001, na Câmara dos Deputados), que ""Institui a Lei Orgânica Nacional das Polícias Militares e dos Corpos de Bombeiros Militares dos Estados, do Distrito Federal e dos Territórios, nos termos do inciso XXI do ""caput"" do art. 22 da Constituição Federal, altera a Lei nº 13.675, de 11 de junho de 2018, e revoga dispositivos do Decreto-Lei nº 667, de 2 de julho de 1969"".",22/02/2024,PL 3045/2022,Lei nº 14.751 de 12/12/2023
VET 40/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16129,"Veto Parcial aposto ao Projeto de Lei nº 2.012, de 2022, que ""Altera as Leis nºs 12.608, de 10 de abril de 2012, e 12.340, de 1º de dezembro de 2010, para aprimorar os instrumentos de prevenção de acidentes ou desastres e de recuperação de áreas por eles atingidas, as ações de monitoramento de riscos de acidentes ou desastres e a produção de alertas antecipados"".",22/02/2024,PL 2012/2022,Lei nº 14.750 de 12/12/2023
VET 39/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16111,"Veto Parcial aposto ao Projeto de Lei nº 4.503 de 2023 (nº 1.949/2007, na Câmara dos Deputados), que ""Institui a Lei Orgânica Nacional das Polícias Civis, dispõe sobre suas normas gerais de funcionamento e dá outras providências"".",03/02/2024,PL 4503/2023,Lei nº 14.735 de 23/11/2023
VET 38/2023 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16110,"Veto Total aposto ao Projeto de Lei nº 334, de 2023, que ""Prorroga até 31 de dezembro de 2027 os prazos de que tratam os arts. 7º e 8º da Lei nº 12.546, de 14 de dezembro de 2011, e o ""caput"" do § 21 do art. 8º da Lei nº 10.865, de 30 de abril de 2004, e dá outras providências"".",03/02/2024,PL 334/2023,Lei nº 14.784 de 27/12/2023     Veto rejeitado
VET 37/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16109,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 90, de 2018 (nº 6.852/2013, na Casa de origem), que ""Altera a Lei nº 11.947, de 16 de junho de 2009, para determinar que os Estados, o Distrito Federal e os Municípios forneçam recursos financeiros a fim de possibilitar o pleno funcionamento do Conselho de Alimentação Escolar (CAE) e aprovem normas complementares para execução do Programa Nacional de Alimentação Escolar (PNAE)"".",03/02/2024,PLC 90/2018,Lei nº 14.734 de 23/11/2023
VET 36/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16089,"Veto Parcial aposto ao Projeto de Lei nº 4.086, de 2023 (nº 7.836/2014, na Câmara dos Deputados), que ""Institui a gratificação por exercício cumulativo de ofícios dos membros da Defensoria Pública da União e dispõe sobre a sua interiorização"".",20/12/2023,PL 4086/2023,Lei nº 14.726 de 17/11/2023
VET 35/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16069,"Veto Parcial aposto ao Projeto de Lei nº 4.426, de 2023, que ""Institui o Programa de Enfrentamento à Fila da Previdência Social (PEFPS); dispõe sobre a transformação de cargos efetivos vagos do Poder Executivo federal; altera as Leis nºs 3.268, de 30 de setembro de 1957, 8.213, de 24 de julho de 1991, 8.742, de 7 de dezembro de 1993, 13.146, de 6 de julho de 2015 (Estatuto da Pessoa com Deficiência), 11.907, de 2 de fevereiro de 2009, 11.134, de 15 de julho de 2005, 11.361, de 19 de outubro de 2006, 10.486, de 4 de julho de 2002, 13.328, de 29 de julho de 2016, 9.264, de 7 de fevereiro de 1996, 12.086, de 6 de novembro de 2009, 8.745, de 9 de dezembro de 1993, e 14.204, de 16 de setembro de 2021; e revoga dispositivos das Leis nºs 9.713, de 25 de novembro de 1998, 9.986, de 18 de julho de 2000, e 14.059, de 22 de setembro de 2020, e a Medida Provisória nº 1.181, de 18 de julho de 2023"".",16/12/2023,PL 4426/2023,Lei nº 14.724 de 14/11/2023
VET 34/2023 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16049,"Veto Total aposto ao Projeto de Lei nº 1.949, de 2021, que ""Acresce dispositivo à Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para estabelecer a não caracterização como perigosas das atividades ou operações que envolvam exposição às quantidades de inflamáveis contidas em tanques de combustíveis originais de fábrica e suplementares, na forma que especifica"".",06/12/2023,PL 1949/2021,Lei nº 14.766 de 22/12/2023     Veto rejeitado
VET 33/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16029,"Veto Parcial aposto ao Projeto de Lei nº 4.188, de 2021, que ""Dispõe sobre o aprimoramento das regras de garantia, a execução extrajudicial de créditos garantidos por hipoteca, a execução extrajudicial de garantia imobiliária em concurso de credores, o procedimento de busca e apreensão extrajudicial de bens móveis em caso de inadimplemento de contrato de alienação fiduciária, o resgate antecipado de Letra Financeira, a alíquota de imposto de renda sobre rendimentos no caso de fundos de investimento em participações qualificados que envolvam titulares de cotas com residência ou domicílio no exterior e o procedimento de emissão de debêntures; altera as Leis nºs 9.514, de 20 de novembro de 1997, 10.406, de 10 de janeiro de 2002 (Código Civil), 13.476, de 28 de agosto de 2017, 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos), 6.766, de 19 de dezembro de 1979, 13.105, de 16 de março de 2015 (Código de Processo Civil), 9.492, de 10 de setembro de 1997, 8.935, de 18 de novembro de 1994, 12.249, de 11 de junho de 2010, 14.113, de 25 de dezembro de 2020, 11.312, de 27 de junho de 2006, 6.404, de 15 de dezembro de 1976, e 14.382, de 27 de junho de 2022, e o Decreto-Lei nº 911, de 1º de outubro de 1969; e revoga dispositivos dos Decretos-Lei nºs 70, de 21 de novembro de 1966, e 73, de 21 de novembro de 1966"".",30/11/2023,PL 4188/2021,Lei nº 14.711 de 30/10/2023
VET 32/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16009,"Veto Parcial aposto ao Projeto de Lei nº 5.614 de 2020 (nº 9.382/2017, na Câmara dos Deputados), que ""Altera a Lei nº 12.319, de 1º de setembro de 2010, para dispor sobre o exercício profissional e as condições de trabalho do profissional tradutor, intérprete e guia-intérprete da Língua Brasileira de Sinais (Libras)"".",25/11/2023,PL 5614/2020,Lei nº 14.704 de 25/10/2023
VET 31/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15989,"Veto Parcial aposto ao Projeto de Lei Complementar nº 136, de 2023, que ""Dispõe sobre a compensação devida pela União nos termos dos arts. 3º e 14 da Lei Complementar nº 194, de 23 de junho de 2022, a dedução das parcelas dos contratos de dívida, a transferência direta de recursos da União aos Estados e ao Distrito Federal, a incorporação do excesso compensado judicialmente em saldo devedor de contratos de dívida administrados pela Secretaria do Tesouro Nacional do Ministério da Fazenda, o tratamento jurídico e contábil aplicável aos pagamentos, às compensações e às vinculações, as transferências de recursos aos Municípios em razão da redução das receitas do Fundo de Participação dos Municípios (FPM), as transferências de recursos aos Estados e ao Distrito Federal em razão da redução das receitas do Fundo de Participação dos Estados e do Distrito Federal (FPE) e as regras relativas ao Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS); e revoga dispositivos da Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), e das Leis Complementares nºs 87, de 13 de setembro de 1996 (Lei Kandir), e 192, de 11 de março de 2022"".",24/11/2023,PLP 136/2023,Lei Complementar nº 201 de 24/10/2023
VET 30/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15969,"Veto Parcial aposto ao Projeto de Lei nº 2.903, de 2023 (nº 490/2007, na Câmara dos Deputados), que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973"".",22/11/2023,PL 2903/2023,Lei nº 14.701 de 20/10/2023
VET 29/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15949,"Veto Parcial aposto ao Projeto de Lei nº 5.649, de 2019 (nº 9.690/2018, na Câmara dos Deputados), que ""Altera a Lei nº 11.892, de 29 de dezembro de 2008, para proporcionar acesso a bolsas de pesquisa, de desenvolvimento, de inovação e de intercâmbio a alunos, a docentes, a ocupantes de cargo público efetivo, a detentores de função ou emprego público e a pesquisadores externos ou de empresas efetivamente envolvidos nessas atividades, e a Lei nº 11.091, de 12 de janeiro de 2005, para prever a concessão das mesmas bolsas a ocupantes de cargo público efetivo de técnico-administrativo que atuem em instituições federais de ensino e que estejam envolvidos nas referidas atividades"".",10/11/2023,PL 5649/2019,Lei nº 14.695 de 10/10/2023
VET 28/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15929,"Veto Parcial aposto ao Projeto de Lei nº 920, de 2023, que ""Altera as Leis nºs 12.340, de 1º de dezembro de 2010, e 9.605, de 12 de fevereiro de 1998, para destinar parcela das arrecadações de recursos financeiros advindos do pagamento de multas por crimes e infrações ambientais e de acordos judiciais e extrajudiciais de reparação de danos socioambientais para o Fundo Nacional para Calamidades Públicas, Proteção e Defesa Civil (Funcap)"".",03/11/2023,PL 920/2023,Lei nº 14.691 de 03/10/2023
VET 27/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15911,"Veto Parcial aposto ao Projeto de Lei nº 2.384, de 2023, que ""Disciplina a proclamação de resultados de julgamentos na hipótese de empate na votação no âmbito do Conselho Administrativo de Recursos Fiscais (Carf); dispõe sobre a autorregularização de débitos e a conformidade tributária no âmbito da Secretaria Especial da Receita Federal do Brasil do Ministério da Fazenda, sobre o contencioso administrativo fiscal e sobre a transação na cobrança de créditos da Fazenda Pública; altera o Decreto nº 70.235, de 6 de março de 1972, e as Leis nºs 6.830, de 22 de setembro de 1980 (Lei de Execução Fiscal), 9.430, de 27 de dezembro de 1996, 13.988, de 14 de abril de 2020, 5.764, de 16 de dezembro de 1971, 9.249, de 26 de dezembro de 1995, e 10.150, de 21 de dezembro de 2000; e revoga dispositivo da Lei nº 10.522, de 19 de julho de 2002"".",22/10/2023,PL 2384/2023,Lei nº 14.689 de 20/09/2023
VET 26/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15910,"Veto Parcial aposto ao Projeto de Lei nº 2.233, de 2022 (nº 9.432/2017, na Câmara dos Deputados), que ""Altera o Decreto-Lei nº 1.001, de 21 de outubro de 1969 (Código Penal Militar), a fim de compatibilizá-lo com o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e com a Constituição Federal, e a Lei nº 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), para classificar como hediondos os crimes que especifica"".",22/10/2023,PL 2233/2022,Lei nº 14.688 de 20/09/2023
VET 25/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15909,"Veto Parcial aposto ao Projeto de Lei nº 2.342, de 2022, que ""Dispõe sobre a criação de funções comissionadas e cargos efetivos no Quadro de Pessoal do Conselho Nacional de Justiça; e altera a Lei nº 11.416, de 15 de dezembro de 2006"".",22/10/2023,PL 2342/2022,Lei nº 14.687 de 20/09/2023
VET 24/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15889,"Veto Parcial aposto ao Projeto de Lei nº 1.403, de 2019, que ""Dispõe sobre o funcionamento dos serviços privados de vacinação humana""",15/10/2023,PL 1403/2019,Lei nº 14.675 de 14/09/2023
VET 23/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15869,"Veto Parcial aposto ao Projeto de Lei Complementar nº 93, de 2023, que ""Institui regime fiscal sustentável para garantir a estabilidade macroeconômica do País e criar as condições adequadas ao crescimento socioeconômico, com fundamento no art. 6º da Emenda Constitucional nº 126, de 21 de dezembro de 2022, e no inciso VIII do ""caput"" e no parágrafo único do art. 163 da Constituição Federal; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal)""",30/09/2023,PLP 93/2023,Lei Complementar nº 200 de 30/08/2023
VET 22/2023 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15849,"Veto Total aposto ao Projeto de Lei nº 2.108, de 2019 (nº 325/2015, na Câmara dos Deputados), que ""Dispõe sobre o fornecimento de uniforme escolar na educação básica"".",24/09/2023,PL 2108/2019,NA
VET 21/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15829,"Veto Parcial aposto ao Projeto de Lei nº 6.494, de 2019, que ""Altera a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para dispor sobre a educação profissional e tecnológica e articular a educação profissional técnica de nível médio com programas de aprendizagem profissional, e a Lei nº 8.742, de 7 de dezembro de 1993, para dispor sobre isenção do cômputo de determinados rendimentos no cálculo da renda familiar ""per capita"" para efeitos da concessão do Beneficio de Prestação Continuada (BPC)"".",02/09/2023,PL 6494/2019,Lei nº 14.645 de 02/08/2023
VET 20/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15809,"Veto Parcial aposto ao Projeto de Lei Complementar nº 178, de 2021, que ""Institui o Estatuto Nacional de Simplificação de Obrigações Tributárias Acessórias; e dá outras providências"".",01/09/2023,PLP 178/2021,Lei Complementar nº 199 de 01/08/2023
VET 19/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15789,"Veto Parcial aposto ao Projeto de Lei nº 2.617, de 2023, que ""Institui o Programa Escola em Tempo Integral; e altera a Lei nº 11.273, de 6 de fevereiro de 2006, a Lei nº 13.415, de 16 de fevereiro de 2017, e a Lei nº 14.172, de 10 de junho de 2021"".",31/08/2023,PL 2617/2023,Lei nº 14.640 de 31/07/2023
VET 17/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15750,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 12, de 2023 (oriundo da MPV nº 1.154/2023), que ""Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios; altera as Leis nºs 9.984, de 17 de julho de 2000, 9.433, de 8 de janeiro de 1997, 8.001, de 13 de março de 1990, 14.204, de 16 de setembro de 2021, 11.445, de 5 de janeiro de 2007, 13.334, de 13 de setembro de 2016, 12.897, de 18 de dezembro de 2013, 8.745, de 9 de dezembro de 1993, 9.069, de 29 de junho de 1995, e 10.668, de 14 de maio de 2003; e revoga dispositivos das Leis nºs 13.844, de 18 de junho de 2019, 13.901, de 11 de novembro de 2019, 14.261, de 16 de dezembro de 2021, e as Leis nºs 8.028, de 12 de abril de 1990, e 14.074, de 14 de outubro de 2020"".",21/07/2023,"MPV 1154/2023 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.600 de 19/06/2023
VET 16/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15749,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 10, de 2023 (oriundo da MPV nº 1.153/2022), que ""Posterga a exigência do exame toxicológico periódico para obtenção e renovação da Carteira Nacional de Habilitação; e altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), a Lei nº 11.442, de 5 de janeiro de 2007, para dispor sobre seguro de cargas, e a Lei nº 11.539, de 8 de novembro de 2007, para dispor sobre a carreira de Analista de Infraestrutura e o cargo isolado de Especialista em Infraestrutura Sênior"".",21/07/2023,"MPV 1153/2022 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.599 de 19/06/2023
VET 15/2023 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15730,"Veto Total aposto ao Projeto de Lei nº 947, de 2022, que ""Altera a Lei nº 9.249, de 26 de dezembro de 1995, para estabelecer a interpretação a ser dada quanto aos limites de dedutibilidade do imposto de renda das pessoas jurídicas e da contribuição social sobre o lucro líquido referentes às despesas com ""royalties"" no processo de multiplicação de sementes"".",15/07/2023,PL 947/2022,NA
VET 13/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15709,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 6, de 2023 (oriundo da MPV nº 1.150/2022), que ""Altera a Lei nº 12.651, de 25 de maio de 2012, de forma a regulamentar prazos e condições para a adesão ao Programa de Regularização Ambiental (PRA), e a Lei nº 11.428, de 22 de dezembro de 2006"".",06/07/2023,"MPV 1150/2022 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.595 de 05/06/2023
VET 12/2023 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15690,"Veto Total aposto ao Projeto de Lei do Senado nº 332, de 2011 (nº 8.254/2014, na Câmara dos Deputados), que ""Concede pensão especial aos ex-integrantes do Batalhão Suez"".",30/06/2023,PLS 332/2011,Lei nº 14.765 de 22/12/2023     Veto rejeitado
VET 11/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15689,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 9, de 2023 (oriundo da MPV nº 1.147/2022), que ""Altera a Lei nº 14.148, de 3 de maio de 2021, que instituiu o Programa Emergencial de Retomada do Setor de Eventos (Perse); reduz a 0% (zero por cento) as alíquotas da Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público (Contribuição para o PIS/Pasep) e da Contribuição para o Financiamento da Seguridade Social (Cofins) incidentes sobre as receitas decorrentes da atividade de transporte aéreo regular de passageiros; reduz as alíquotas da Contribuição para o PIS/Pasep e da Cofins incidentes sobre operações realizadas com óleo diesel, biodiesel e gás liquefeito de petróleo; suspende o pagamento da Contribuição para o PIS/Pasep e da Cofins incidentes sobre operações de petróleo efetuadas por refinarias para produção de combustíveis; altera as Leis nºs 10.637, de 30 de dezembro de 2002, e 10.833, de 29 de dezembro de 2003, para excluir o Imposto sobre Operações relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS) da base de cálculo dos créditos da Contribuição para o PIS/Pasep e da Cofins; e as Leis nºs 13.483, de 21 de setembro de 2017, e 13.576, de 26 de dezembro de 2017, e os Decretos-Lei nºs 9.853, de 13 de setembro de 1946, e 8.621, de 10 de janeiro de 1946; revoga dispositivos da Lei nº 14.148, de 3 de maio de 2021, e das Medidas Provisórias nºs 1.157, de 1º de janeiro de 2023, 1.159, de 12 de janeiro de 2023, e 1.163, de 28 de fevereiro de 2023; e dá outras providências"".",29/06/2023,"MPV 1147/2022 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.592 de 30/05/2023
VET 10/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15669,"Veto Parcial aposto ao Projeto de Lei nº 2.969, de 2022, que ""Dispõe sobre a transformação de cargos de Analista do Ministério Público da União em cargos de Procurador da Justiça Militar, em cargos de Promotor da Justiça Militar e em cargos em comissão que especifica, no âmbito do Ministério Público Militar; e altera a Lei nº 13.316, de 20 de julho de 2016"".",25/06/2023,PL 2969/2022,Lei nº 14.591 de 25/05/2023
VET 8/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/15629,"Veto Parcial aposto ao Projeto de Lei do Congresso Nacional nº 2, de 2023, que ""Altera o Anexo V à Lei nº 14.535, de 17 de janeiro de 2023, que estima a receita e fixa a despesa da União para o exercício financeiro de 2023"".",28/05/2023,PLN 2/2023,Lei nº 14.563 de 28/04/2023
